Player,Game,Team,Hero,Stat,Role,Best Attribute,Actual Result
70,9,18,93,0,3,1,0
71,9,18,65,1,5,0,0
72,9,18,5,1,2,0,0
73,10,19,75,0,0,0,1
74,10,19,19,0,2,0,1
75,10,19,28,1,1,1,1
76,10,19,93,0,3,1,1
77,10,20,19,0,2,0,0
78,10,20,75,0,0,0,0
79,10,20,42,0,5,2,0
80,10,20,25,0,3,2,0
81,11,21,92,1,0,0,1
82,11,21,11,1,5,1,1
83,11,21,69,0,1,1,1
84,11,21,25,0,3,2,1
85,11,22,71,0,2,0,0
86,11,22,30,0,3,2,0
87,11,22,62,0,0,0,0
88,11,22,15,1,5,2,0
89,12,23,62,0,0,0,0
90,12,23,19,0,2,0,0
91,12,23,65,1,5,0,0
92,12,23,31,0,1,1,0
93,12,24,20,1,5,0,1
94,12,24,17,1,3,2,1
95,12,24,62,0,0,0,1
96,12,24,35,1,2,0,1
97,13,25,17,1,3,2,0
98,13,25,95,1,0,0,0
99,13,25,9,0,1,1,0
100,13,25,84,1,3,2,0
101,13,26,28,1,1,1,1
102,13,26,25,0,3,2,1
103,13,26,95,1,0,0,1
104,13,26,35,1,2,0,1
105,14,27,76,1,5,2,1
106,14,27,17,1,3,2,1
107,14,27,62,0,0,0,1
108,14,27,28,1,1,1,1
109,14,28,102,1,0,0,0
110,14,28,36,1,1,1,0
111,14,28,84,1,3,2,0
112,14,28,53,0,2,0,0
113,15,29,92,1,0,0,1
114,15,29,41,0,5,0,1
115,15,29,53,0,2,0,1
116,15,29,93,0,3,1,1
117,15,30,65,1,5,0,0
118,15,30,53,0,2,0,0
119,15,30,93,0,3,1,0
120,15,30,36,1,1,1,0
121,16,31,62,0,0,0,1
122,16,31,18,0,3,2,1
123,16,31,53,0,2,0,1
124,16,31,31,0,1,1,1
125,16,32,62,0,0,0,0
126,16,32,34,0,5,2,0
127,16,32,35,1,2,0,0
128,16,32,36,1,1,1,0
129,17,33,76,1,5,2,1
130,17,33,50,0,3,1,1
131,17,33,26,0,2,0,1
132,17,33,25,0,3,2,1
133,17,34,50,0,3,1,0
134,17,34,70,0,5,2,0
135,17,34,62,0,0,0,0
136,17,34,31,0,1,1,0
137,18,35,75,0,0,0,0
138,18,35,65,1,5,0,0
139,18,35,35,1,2,0,0
140,18,35,47,0,3,1,0
141,18,36,44,0,3,1,1
142,18,36,34,0,5,2,1
143,18,36,62,0,0,0,1
144,18,36,54,0,2,0,1
145,19,37,92,1,0,0,0
146,19,37,5,1,2,0,0
147,19,37,42,0,5,2,0
148,19,37,47,0,3,1,0
149,19,38,50,0,3,1,1
150,19,38,2,0,5,0,1
151,19,38,62,0,0,0,1
152,19,38,19,0,2,0,1
153,20,39,92,1,0,0,1
154,20,39,47,0,3,1,1
155,20,39,70,0,5,2,1
156,20,39,14,1,2,0,1
157,20,40,90,1,0,0,0
158,20,40,30,0,3,2,0
159,20,40,14,1,2,0,0
160,20,40,44,0,1,1,0
161,21,41,92,1,0,0,1
162,21,41,25,0,3,2,1
163,21,41,9,0,1,1,1
164,21,41,35,1,2,0,1
165,21,42,2,0,5,0,0
166,21,42,25,0,3,2,0
167,21,42,90,1,0,0,0
168,21,42,52,0,1,1,0
169,22,43,62,0,0,0,1
170,22,43,31,0,1,1,1
171,22,43,35,1,2,0,1
172,22,43,50,0,3,1,1
